question,label
 طارند بالا ، چه چیزی  است؟,1
 طارند بالا ، روستایی از توابع کجا است؟,1
 طارند بالا ، روستایی از توابع کجا در استان تهران ایران است؟,1
 طارند بالا ، روستایی از توابع بخش جلیل آباد شهرستان پیشوا در کجا است؟,1
کجا روستایی در استان تهران ایران است,1
 طارند بالا ، روستایی از توابع بخش جلیل آباد  کجا  است؟,1
 طارند بالا ، روستایی از توابع بخش جلیل آباد کجا در استان تهران ایران است؟,1
 آآ قرمز نام چه چیزی است؟,1
 آآ قرمز نام یک گونه از چه چیزی است؟,1
چه چیزی نام یک گونه از سرده آآ است؟,1
 ا ژ و یکی چه چیزی می‌باشد که قرار است جایگزین قطارهای سریع السیر فرانسه ، ت ژ و شود؟,1
 ا ژ و یکی از قطارهای شرکت آلستوم می‌باشد که قرار است چه چیزی شود؟,1
 ا ژ و یکی از قطارهای چه سازمانی می‌باشد که قرار است جایگزین قطارهای سریع السیر فرانسه ، ت ژ و شود؟,1
 ا ژ و چه چیزی می‌باشد؟,1
 ا ژ و یکی از قطارهای چه سازمانی می‌باشد ؟,1
 ا ژ و یکی از قطارهای شرکت آلستوم می‌باشد که قرار است جایگزین قطارهای سریع السیر فرانسه ، ت ژ و شود,1
 تا آن که صداهای انسانی ما را بیدار کنندچه چیزی است؟,1
 تا آن که صداهای انسانی ما را بیدار کنند چه چیزی است که در سال ۲۰۰۲ منتشر شد؟,1
 تا آن که صداهای انسانی ما را بیدار کنند یک فیلم در سبک ملودرام است که در چه زمانی منتشر شد؟,1
 تا آن که صداهای انسانی ما را بیدار کنند  در چه زمانی منتشر شد؟,1
 تاباسکو نام چه چیزی است؟,1
 تاباسکو چه چیزی است؟,1
 تاباسکو نام تجاری چه چیزی است؟,1
 ثابت پنجه چه چیزی است که امروزه تنها یک گونه از آن باقی مانده؟,1
 ثابت پنجه چه چیزی است؟,1
 ثابت پنجه سرده‌ای از پستانداران گوشتخوار از تیره گربه ایان است که امروزه تنها چند گونه از آن باقی مانده؟,1
چه چیزی سرده‌ای از پستانداران گوشتخوار از تیره گربه ایان است؟,1
 جاجوی علیا ، روستایی از توابع کجا در استان خوزستان ایران است؟,1
 جاجوی علیا ، کجا است؟,1
 جاجوی علیا ، روستایی از توابع بخش مرکزی شهرستان مسجدسلیمان در کجا است؟,1
 جاجوی علیا ، روستایی از توابع بخش مرکزی کجا در استان خوزستان ایران است؟,1
 حاج امیرکندی روستایی است که در کجا قرار دارد؟,1
کجا روستایی است که در استان اردبیل ، قرار دارد؟,1
کجا روستایی است که در استان اردبیل ، شهرستان پارس آباد  قرار دارد؟,1
کجا روستایی است که در بخش اصلاندوز  قرار دارد؟,1
 نبرد زاب نام نبردی است که در ۱۱چه زمانی میان امویان و عباسیان رخ داد؟,1
 نبرد زاب نام نبردی است که در ۱۱ جمادی الاولی یا ۱۱ جمادی الثانی سال ۱۳۲ هجری قمری میان چه کسی و عباسیان رخ داد؟,1
 نبرد زاب نام نبردی است که در ۱۱ جمادی الاولی یا ۱۱ جمادی الثانی سال ۱۳۲ هجری قمری میان امویان و چه کسی رخ داد؟,1
 نبرد زاب نام نبردی است که در چه زمانی رخ داد؟,1
 نبرد زاب نام نبردی است که میان چه کسی و عباسیان رخ داد؟,1
 نبرد زاب نام نبردی است که  میان امویان و چه کسی رخ داد؟,1
 زاخو چه چیزی است؟,1
 زاخو یکی از شهرهای کجا است؟,1
 زاخو یکی از شهرهای کردستان عراق واقع در کجا است؟,1
 زاخو یکی از شهرهای کجا است؟,1
 کجا یکی از شهرهای کردستان عراق  است؟,1
 زادنی ستریتژ چه چیزی است؟,1
 زادنی ستریتژ یچه چیزی است که در شهرستان تابور واقع شده است؟,1
 زادنی ستریتژ یک منطقه مسکونی در جمهوری چک است که کجا واقع شده است؟,1
 زادنی ستریتژ چه چیزی است؟,1
 زادنی ستریتژ  در کجا واقع شده است؟,1
 سابمارین کلاس بری یچه چیزی است که طول آن ۱۷۰ متر می‌باشد؟,1
 سابمارین کلاس بری یک کلاس از زیردریایی است که طول آن چند متر می‌باشد؟,1
چه چیزی طول آن ۱۷۰ متر می‌باشد؟,1
 سابمارین کلاس بری چه چیزی است؟,1
 ا لیست اپارت چه چیزی است؟,1
 ا لیست اپارت یک مجله اینترنتی برای چه کسانی است؟,1
 آآ ودلیانا نام یچه چیزی است؟,1
 آآ ودلیانا نام یک گونه از چه چیزی است؟,1
چه چیزی نام یک گونه از سرده آآ است؟,1
 تا لنگ کجا است که در دین بین فو واقع شده است؟,1
 تا لنگ یک منطقه مسکونی در ویتنام است که در کجا واقع شده است؟,1
 تا لنگ کجا است؟,1
 تا لنگ یک منطقه مسکونی در کجا است که در دین بین فو واقع شده است؟,1
کجا در دین بین فو واقع شده است؟,1
کجا یک منطقه مسکونی در ویتنام است ؟,1
 ثانیه شمالی یا قفز الثانیه یا لاندا خرس بزرگ چه چیزی است که در صورت فلکی خرس بزرگ قرار دارد؟,1
 ثانیه شمالی یا قفز الثانیه یا لاندا خرس بزرگ یک ستاره است که در کجا قرار دارد؟,1
 ثانیه شمالی یا قفز الثانیه یا لاندا خرس بزرگ در کجا قرار دارد؟,1
 ثانیه شمالی یا قفز الثانیه یا لاندا خرس بزرگ چه چیزی است ؟,1
 عبدالله جاتلی چه چیزی بود؟,1
 عبدالله جاتلی فعال ناسیونالیست کجایی بود؟,1
چه کسی نئوفاشیست بود؟,1
 عبدالله جاتلی فعال ناسیونالیست ترک و نئوفاشیست بود,1
 فائقه آتشین با نام هنری گوگوش چه کسی است؟,1
 فائقه آتشین با نام هنری گوگوش خواننده و هنرپیشه مشهور کچایی است؟,1
 فائقه آتشین  خواننده و هنرپیشه مشهور کجایی است؟,1
 حاج محمد علی شاه ، کجا است؟,1
 حاج محمد علی شاه ، روستایی از توابع کجا در استان سیستان و بلوچستان ایران است؟,1
 حاج محمد علی شاه ، روستایی از توابع بخش میان کنگی شهرستان زابل در کجا است؟,1
 حاج محمد علی شاه ، روستایی از توابع کجا است؟,1
 حاج محمد علی شاه ،  روستایی در کجا است؟,1
کجا در استان سیستان و بلوچستان ایران است؟,1
کجا روستایی از توابع بخش میان کنگی شهرستان زابل  است؟,1
 خاجی آرواره سانان نام چه چیزی است؟,1
 دا کاپو پرس شرکت انتشارات کجایی است که دفتر مرکزی آن در کمبریج ، ماساچوست قرار دارد؟,1
 دا کاپو پرس شرکت انتشارات آمریکایی است که دفتر مرکزی آن در کجا قرار دارد؟,1
 دا کاپو پرس شرکت انتشارات کجایی است ؟,1
کجا شرکت انتشارات آمریکایی است؟,1
 ذره‌ای آرامش نام چه چیزی است؟,1
 ذره‌ای آرامش نام چندمین فیلم از ماجراهای جیمز باند و به کارگردانی مارک فورستر است؟,1
 ذره‌ای آرامش نام بیست و دومین فیلم از ماجراهای چه کسی و به کارگردانی مارک فورستر است؟,1
 ذره‌ای آرامش نام بیست و دومین فیلم از ماجراهای جیمز باند و به کارگردانی چه کسی است؟,1
 ذره‌ای آرامش نام چندمین فیلم از ماجراهای جیمز باند است؟,1
 ذره‌ای آرامش به کارگردانی چه کسی است؟,1
 چه چیزی نام بیست و دومین فیلم از ماجراهای جیمز باند  است؟,1
 رابا ، شرکت کجایی است ، که در سال ۱۸۹۶ تأسیس شد؟,1
 رابا ، شرکت خودروسازی مجارستانی است ، که در چه زمانی تأسیس شد؟,1
 کجا ، شرکت خودروسازی مجارستانی است؟,1
 رابا  درچه زمانی تأسیس شد؟,1
 رابا ، شرکت خودروسازی کجایی است؟,1
 سابادباتکان یک منطقه مسکونی در کجا است که در ناحیه سکسفهروار واقع شده است؟,1
 سابادباتکان یک منطقه مسکونی در مجارستان است که در کجا واقع شده است؟,1
 سابادباتکان یک منطقه مسکونی در مجارستان است که در ناحیه سکسفهروار واقع شده است,1
 سابادباتکان یک منطقه مسکونی در کجا است؟,1
 سابادباتکان  در کجا واقع شده است؟,1
 کجا یک منطقه مسکونی در مجارستان است ؟,1
کجا در ناحیه سکسفهروار واقع شده است؟,1
 ساب لایم تکست چه چیزی است؟,1
چه چیزی یک نرم افزار مالکیتی چندسکویی ویرایش‌گر کد منبع است؟,1
 فضاپیمای بوران یکی از فضاپیماهای شاتل کجا  است؟,1
 ضدعفونی کننده دست چه چیزی است؟,1
 آ هوآنگ چه کسی است؟,1
 آ هوآنگ یک ورزشکار فوتبالیست اهل کجا است؟,1
 آ استرادا یک شهرستان در کجا با جمعیت ۸ ۲۹۱ نفر است که در استان پنتبدرا واقع شده است؟,1
 آ استرادا یک شهرستان در اسپانیا با جمعیت چند نفر است که در استان پنتبدرا واقع شده است؟,1
 آ استرادا یک شهرستان در اسپانیا با جمعیت ۸ ۲۹۱ نفر است که در کجا واقع شده است؟,1
کجا یک شهرستان در اسپانیا با جمعیت ۸ ۲۹۱ نفر است ؟,1
کجا در استان پنتبدرا واقع شده است؟,1
 آآ پالاس نام چه چیزی است؟,1
 آآ پالاس نام یک گونه از چه چیزی است؟,1
 آآ پالاس چه چیزی است؟,1
 تا مغز استخوان مبارزه کن چه چیزی است؟,1
 تا مغز استخوان مبارزه کن فیلمی محصول چه زمانی و به کارگردانی ران شلتون است؟,1
 تا مغز استخوان مبارزه کن فیلمی محصول سال ۲۰۰۰ و به کارگردانی چه کسی است؟,1
 تا مغز استخوان مبارزه کن فیلمی محصول چه زمانی است؟,1
 تا مغز استخوان مبارزه کن به کارگردانی چه کسی است؟,1
چه چیزی فیلمی محصول سال ۲۰۰۰ است؟,1
 تابستان خشک چه چیزی است که در سال ۱۹۶۴ منتشر شد؟,1
 تابستان خشک یک فیلم به کارگردانی متین ارکسان است که در چه زمانی منتشر شد؟,1
چه چیزی یک فیلم به کارگردانی متین ارکسان است؟,1
 گاه شماری پارسی قدیم به گاه شماری ای گفته می‌شود که در چه زمانی در قسمت‌های جنوب غربی ایران رایج بوده است؟,1
